#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Erf_glue	Erf	0.0	1.0	placeholder
Ets1_glue	Ets1	0.0	1.0	placeholder
Etv3_glue	Etv3	0.0	1.0	placeholder
Etv4_glue	Etv4	0.0	1.0	placeholder
Etv5_glue	Etv5	0.0	1.0	placeholder
Fli1_glue	Fli1	0.0	1.0	placeholder
Etv6_glue	Etv6	0.0	1.0	placeholder
Far1_glue	Far1	0.0	1.0	placeholder
Tfdp1_glue	Tfdp1	0.0	1.0	placeholder
Ovol1_glue	Ovol1	0.0	1.0	placeholder
Ovol2_glue	Ovol2	0.0	1.0	placeholder
Etv2_glue	Etv2	0.0	1.0	placeholder
Nr2c1_glue	Nr2c1	0.0	1.0	placeholder
Pax5_glue	Pax5	0.0	1.0	placeholder
